embedding_model,threshold,policy,max_size,clean_size,repeat,step,cluster,prompt,hit,llm_time_s,total_time_s,miss_reason,cache_size,similarity,distance
nomic-embed-text,0.8,LFU,16,4,0,1,0,What is the capital of France?,True,0.0,0.09833621978759766,,,,
nomic-embed-text,0.8,LFU,16,4,0,2,0,France's capital city is what?,True,0.0,0.11463713645935059,,,,
nomic-embed-text,0.8,LFU,16,4,0,3,0,Tell me the capital of France.,True,0.0,0.10693955421447754,,,,
nomic-embed-text,0.8,LFU,16,4,0,4,1,What are the advantages of using a semantic cache for LLMs?,True,0.0,0.12661099433898926,,,,
nomic-embed-text,0.8,LFU,16,4,0,5,1,What are the disadvantages of using a semantic cache for LLMs?,True,0.0,0.12819290161132812,,,,
nomic-embed-text,0.8,LFU,16,4,0,6,2,Write a python function to calculate a factorial.,True,0.0,0.11922645568847656,,,,
nomic-embed-text,0.8,LFU,16,4,0,7,2,Write a javascript function to calculate a factorial.,True,0.0,0.11707067489624023,,,,
nomic-embed-text,0.8,LFU,16,4,0,8,3,Summarize the plot of the movie 'The Matrix',True,0.0,0.1256704330444336,,,,
nomic-embed-text,0.8,LFU,16,4,0,9,3,Give me a short summary of what happens in 'The Matrix',True,0.0,0.12749552726745605,,,,
nomic-embed-text,0.8,LFU,16,4,0,10,3,Can you explain the story of 'The Matrix'?,True,0.0,0.14793658256530762,,,,
nomic-embed-text,0.8,LFU,16,4,1,11,0,What is the capital of France?,True,0.0,0.146087646484375,,,,
nomic-embed-text,0.8,LFU,16,4,1,12,0,France's capital city is what?,True,0.0,0.1313779354095459,,,,
nomic-embed-text,0.8,LFU,16,4,1,13,0,Tell me the capital of France.,True,0.0,0.14790678024291992,,,,
nomic-embed-text,0.8,LFU,16,4,1,14,1,What are the advantages of using a semantic cache for LLMs?,True,0.0,0.15310287475585938,,,,
nomic-embed-text,0.8,LFU,16,4,1,15,1,What are the disadvantages of using a semantic cache for LLMs?,True,0.0,0.14617133140563965,,,,
nomic-embed-text,0.8,LFU,16,4,1,16,2,Write a python function to calculate a factorial.,True,0.0,0.1192789077758789,,,,
nomic-embed-text,0.8,LFU,16,4,1,17,2,Write a javascript function to calculate a factorial.,True,0.0,0.1112828254699707,,,,
nomic-embed-text,0.8,LFU,16,4,1,18,3,Summarize the plot of the movie 'The Matrix',True,0.0,0.11818742752075195,,,,
nomic-embed-text,0.8,LFU,16,4,1,19,3,Give me a short summary of what happens in 'The Matrix',True,0.0,0.12775874137878418,,,,
nomic-embed-text,0.8,LFU,16,4,1,20,3,Can you explain the story of 'The Matrix'?,True,0.0,0.12475419044494629,,,,
nomic-embed-text,0.8,LFU,16,4,2,21,0,What is the capital of France?,True,0.0,0.1363539695739746,,,,
nomic-embed-text,0.8,LFU,16,4,2,22,0,France's capital city is what?,True,0.0,0.1332719326019287,,,,
nomic-embed-text,0.8,LFU,16,4,2,23,0,Tell me the capital of France.,True,0.0,0.10878634452819824,,,,
nomic-embed-text,0.8,LFU,16,4,2,24,1,What are the advantages of using a semantic cache for LLMs?,True,0.0,0.13265252113342285,,,,
nomic-embed-text,0.8,LFU,16,4,2,25,1,What are the disadvantages of using a semantic cache for LLMs?,True,0.0,0.12446713447570801,,,,
nomic-embed-text,0.8,LFU,16,4,2,26,2,Write a python function to calculate a factorial.,True,0.0,0.11331415176391602,,,,
nomic-embed-text,0.8,LFU,16,4,2,27,2,Write a javascript function to calculate a factorial.,True,0.0,0.12873458862304688,,,,
nomic-embed-text,0.8,LFU,16,4,2,28,3,Summarize the plot of the movie 'The Matrix',True,0.0,0.11494088172912598,,,,
nomic-embed-text,0.8,LFU,16,4,2,29,3,Give me a short summary of what happens in 'The Matrix',True,0.0,0.1089937686920166,,,,
nomic-embed-text,0.8,LFU,16,4,2,30,3,Can you explain the story of 'The Matrix'?,True,0.0,0.12418103218078613,,,,
nomic-embed-text,0.85,LFU,16,4,0,1,0,What is the capital of France?,True,0.0,0.11252474784851074,,,,
nomic-embed-text,0.85,LFU,16,4,0,2,0,France's capital city is what?,True,0.0,0.11377406120300293,,,,
nomic-embed-text,0.85,LFU,16,4,0,3,0,Tell me the capital of France.,True,0.0,0.1226038932800293,,,,
nomic-embed-text,0.85,LFU,16,4,0,4,1,What are the advantages of using a semantic cache for LLMs?,True,0.0,0.14228200912475586,,,,
nomic-embed-text,0.85,LFU,16,4,0,5,1,What are the disadvantages of using a semantic cache for LLMs?,True,0.0,0.13066506385803223,,,,
nomic-embed-text,0.85,LFU,16,4,0,6,2,Write a python function to calculate a factorial.,True,0.0,0.12836861610412598,,,,
nomic-embed-text,0.85,LFU,16,4,0,7,2,Write a javascript function to calculate a factorial.,True,0.0,0.13761115074157715,,,,
nomic-embed-text,0.85,LFU,16,4,0,8,3,Summarize the plot of the movie 'The Matrix',True,0.0,0.12031817436218262,,,,
nomic-embed-text,0.85,LFU,16,4,0,9,3,Give me a short summary of what happens in 'The Matrix',True,0.0,0.12178349494934082,,,,
nomic-embed-text,0.85,LFU,16,4,0,10,3,Can you explain the story of 'The Matrix'?,True,0.0,0.11411857604980469,,,,
nomic-embed-text,0.85,LFU,16,4,1,11,0,What is the capital of France?,True,0.0,0.10775995254516602,,,,
nomic-embed-text,0.85,LFU,16,4,1,12,0,France's capital city is what?,True,0.0,0.159149169921875,,,,
nomic-embed-text,0.85,LFU,16,4,1,13,0,Tell me the capital of France.,True,0.0,0.1315443515777588,,,,
nomic-embed-text,0.85,LFU,16,4,1,14,1,What are the advantages of using a semantic cache for LLMs?,True,0.0,0.12472057342529297,,,,
nomic-embed-text,0.85,LFU,16,4,1,15,1,What are the disadvantages of using a semantic cache for LLMs?,True,0.0,0.12199854850769043,,,,
nomic-embed-text,0.85,LFU,16,4,1,16,2,Write a python function to calculate a factorial.,True,0.0,0.12596845626831055,,,,
nomic-embed-text,0.85,LFU,16,4,1,17,2,Write a javascript function to calculate a factorial.,True,0.0,0.15864300727844238,,,,
nomic-embed-text,0.85,LFU,16,4,1,18,3,Summarize the plot of the movie 'The Matrix',True,0.0,0.11836051940917969,,,,
nomic-embed-text,0.85,LFU,16,4,1,19,3,Give me a short summary of what happens in 'The Matrix',True,0.0,0.13957810401916504,,,,
nomic-embed-text,0.85,LFU,16,4,1,20,3,Can you explain the story of 'The Matrix'?,True,0.0,0.14374804496765137,,,,
nomic-embed-text,0.85,LFU,16,4,2,21,0,What is the capital of France?,True,0.0,0.12398338317871094,,,,
nomic-embed-text,0.85,LFU,16,4,2,22,0,France's capital city is what?,True,0.0,0.1089482307434082,,,,
nomic-embed-text,0.85,LFU,16,4,2,23,0,Tell me the capital of France.,True,0.0,0.10563898086547852,,,,
nomic-embed-text,0.85,LFU,16,4,2,24,1,What are the advantages of using a semantic cache for LLMs?,True,0.0,0.12473559379577637,,,,
